"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
2.798579481,106.1171324,0.418435068,140.3151803,0.5,"Trawler",1,0,"Forage",6,414352,"mid-day","Foraging","Present"
9.679148565,86.25029079,0.004121545,110.2807718,0.5,"Tour",1,0,"Forage",3,414352,"mid-day","Foraging","Present"
1.716322521,53.4242436,0.621063077,155.9530037,0.7,"Tour",1,0,"Rest",2,414355,"afternoon","RST","Present"
2.008276977,64.46533934,0.49702932,128.6824721,0.7,"Mid",3,0,"Forage",1,414355,"afternoon","Foraging","Present"
0.987801943,100.1727354,0.102273546,84.70242626,0.8,"Small",2,0,"Forage",1,414356,"afternoon","Foraging","Present"
0.317786387,57.83603758,0.406476232,254.2580555,0.3,"None",2,0,"Forage",1,414363,"morning","Foraging","Absent"
1.031396894,49.21750944,0.542233148,261.0461757,0.3,"None",2,0,"Forage",2,414363,"morning","Foraging","Absent"
2.447350199,45.98397241,0.68666071,278.1201343,0.6,"None",5,0,"Social",1,414365,"mid-day","RST","Absent"
1.294569173,62.23547572,0.482420718,72.0099989,0.7,"None",5,0,"Social",2,414366,"afternoon","RST","Absent"
2.168548324,24.97722512,0.832126923,78.91729893,0.7,"None",5,0,"Social",3,414366,"afternoon","RST","Absent"
2.51640472,27.3178921,0.432155284,93.90367217,0.6,"None",5,0,"Social",1,414366,"mid-day","RST","Absent"
1.526313001,71.40120206,0.339792873,69.46961644,0.8,"None",2,0,"Forage",1,414367,"afternoon","Foraging","Absent"
0.903555614,37.40698506,0.297722346,108.2522185,0.2,"Mid",2,0,"Rest",1,414383,"morning","RST","Present"
3.999968776,26.00438529,0.960169243,203.3058391,0.3,"Mid",5,0,"Social",1,414386,"morning","RST","Present"
1.225322572,11.71551441,0.87814613,129.9178758,0.4,"Small",4,0,"Rest",1,414387,"mid-day","RST","Present"
2.305604477,37.51584704,0.348759943,206.7571853,0.4,"Tour",2,0,"Rest",1,414388,"mid-day","RST","Present"
1.939171328,30.36782902,0.788321423,162.8228962,0.5,"Large",4,0,"Social",1,414389,"mid-day","RST","Present"
3.109721714,15.9575618,0.676575346,133.1046505,0.1,"None",4,0,"Rest",1,414396,"morning","RST","Absent"
